Fecha,Ultima actualizacion,Topic,Fuente,Resumen noticia,Link,Analisis sentimental
"lunes, 19 de diciembre de 2022",Hace 2 horas,Inicio,EL PAÍS,"La comisión del asalto al Capitolio pide procesar a Trump por cuatro delitos, incluido el de insurrección",https://news.google.com/articles/CBMiiAFodHRwczovL2VscGFpcy5jb20vaW50ZXJuYWNpb25hbC8yMDIyLTEyLTE5L2xhLWNvbWlzaW9uLWRlbC1hc2FsdG8tYWwtY2FwaXRvbGlvLXBpZGUtcHJvY2VzYXItYS10cnVtcC1wb3ItaW5jaXRhci1hLWxhLWluc3VycmVjY2lvbi5odG1s0gGXAWh0dHBzOi8vZWxwYWlzLmNvbS9pbnRlcm5hY2lvbmFsLzIwMjItMTItMTkvbGEtY29taXNpb24tZGVsLWFzYWx0by1hbC1jYXBpdG9saW8tcGlkZS1wcm9jZXNhci1hLXRydW1wLXBvci1pbmNpdGFyLWEtbGEtaW5zdXJyZWNjaW9uLmh0bWw_b3V0cHV0VHlwZT1hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 7 horas,Inicio,20minutos.es,"Semidesnudo, con un golpe en la cabeza... todas las claves del niño de ocho años hallado muerto en un matorral de Ceuta",https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LjIwbWludXRvcy5lcy9ub3RpY2lhLzUwODU4MjAvMC9zZW1pZGVzbnVkby1nb2xwZS1jYWJlemEtY2xhdmVzLW5pbm8tb2Noby1hbm9zLW11ZXJ0by1jZXV0YS1tYXRvcnJhbC_SAQA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 13 horas,Inicio,Informativos Telecinco,Hallan muerto a un niño de 8 años en Ceuta,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnRlbGVjaW5jby5lcy9pbmZvcm1hdGl2b3Mvc29jaWVkYWQvc3VjZXNvcy8yMDIyMTIxOS9uaW5vLW11ZXJ0by1kZXNhcGFyZWNpZG8taG9yYXMtY2V1dGFfMThfMDgyNjM0MDAuaHRtbNIBfmh0dHBzOi8vd3d3LnRlbGVjaW5jby5lcy9pbmZvcm1hdGl2b3Mvc29jaWVkYWQvc3VjZXNvcy8yMDIyMTIxOS9uaW5vLW11ZXJ0by1kZXNhcGFyZWNpZG8taG9yYXMtY2V1dGFfMThfMDgyNjM0MDAuaHRtbD9hbXA9dHJ1ZQ?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 12 horas,Inicio,ABC.es,El niño hallado muerto en Ceuta tenía un golpe en la cabeza y estaba semidesnudo,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmFiYy5lcy9lc3BhbmEvaGFsbGFuLWNhZGF2ZXItbmluby1vY2hvLWFub3MtY2V1dGEtMjAyMjEyMTkxMDE0MzgtbnQuaHRtbNIBAA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 10 horas,Inicio,El Correo de Andalucía,Hallan el cadáver de un niño desaparecido horas antes en Ceuta,https://news.google.com/articles/CBMiZmh0dHBzOi8vZWxjb3JyZW93ZWIuZXMvZXNwYW5hL2hhbGxhbi1lbC1jYWRhdmVyLWRlLXVuLW5pbm8tZGVzYXBhcmVjaWRvLWhvcmFzLWFudGVzLWVuLWNldXRhLVhIODIyOTYzNdIBAA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 4 horas,Inicio,EL PAÍS,Murcia recibe su primer tren de alta velocidad tras casi dos décadas,https://news.google.com/articles/CBMiWmh0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIyLTEyLTE5L211cmNpYS1yZWNpYmUtc3UtcHJpbWVyLXRyZW4tZGUtYWx0YS12ZWxvY2lkYWQuaHRtbNIBaWh0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIyLTEyLTE5L211cmNpYS1yZWNpYmUtc3UtcHJpbWVyLXRyZW4tZGUtYWx0YS12ZWxvY2lkYWQuaHRtbD9vdXRwdXRUeXBlPWFtcA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 6 horas,Inicio,Europa Press,El Rey y Sánchez inauguran la línea de AVE Madrid-Murcia,https://news.google.com/articles/CCAiC0gtbzhpOXNMaHZnmAEB?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 3 horas,Inicio,INFORMACIÓN,El Gobierno anuncia que el tren Avant Alicante-Murcia será gratuito con bono todo 2023,https://news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmluZm9ybWFjaW9uLmVzL2VsY2hlLzIwMjIvMTIvMTkvZ29iaWVybm8tYW51bmNpYS10cmVuLWF2YW50LWFsaWNhbnRlLTgwMTk0MzAzLmh0bWzSAQA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Ayer,Inicio,elDiario.es,El AVE llega a Murcia 20 años después y por el trazado más largo: la “metedura de pata” del expresidente Valcárcel,https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5lbGRpYXJpby5lcy9tdXJjaWEvcG9saXRpY2EvYXZlLWxsZWdhLW11cmNpYS0yMC1hbm9zLWRlc3B1ZXMtdHJhemFkby1tZXRlZHVyYS1wYXRhLWV4cHJlc2lkZW50ZS12YWxjYXJjZWxfMV85Mjg4MzE2Lmh0bWzSAQA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 9 horas,Inicio,EL PAÍS,La AEMET avisa: las provincias en las que lloverá en Nochebuena y Navidad,https://news.google.com/articles/CBMidmh0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIyLTEyLTE5L2xvcy1leHBlcnRvcy1kZS10cmFiYWpvLXByb3BvbmVuLXVuYS1zdWJpZGEtZGVsLXNtaS1kZS1oYXN0YS1lbC04Mi1lbi0yMDIzLmh0bWzSAQA?hl=es&gl=ES&ceid=ES%3Aes,0
